timestamp_ms,event,best_bid,best_ask,mid_price,last_trade_price,last_trade_qty,vwap,sma,rsi,signal,signal_reason
1772090019921,trade,68234.40,68234.41,68234.40,68234.40,0.000110,68234.40,68234.40,50.0,NONE,
1772090020005,trade,68234.40,68234.41,68234.40,68234.40,0.000110,68234.40,68234.40,50.0,NONE,
1772090020089,trade,68234.40,68234.41,68234.40,68234.40,0.000110,68234.40,68234.40,0.0,NONE,
1772090020206,trade,68234.40,68234.41,68234.40,68234.40,0.000110,68234.40,68234.40,0.0,NONE,
1772090020303,trade,68234.40,68234.41,68234.40,68234.40,0.000110,68234.40,68234.40,0.0,NONE,
1772090020391,trade,68234.40,68234.41,68234.40,68234.40,0.000110,68234.40,68234.40,0.0,NONE,
1772090020479,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,
1772090020572,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,
1772090020659,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP upward
1772090020743,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP upward
1772090020855,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090020954,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090021037,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090021121,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090021205,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090021288,trade,68234.40,68234.41,68234.40,68234.40,0.000790,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
